%                    STANDARDIZED    DATA                                        
%                                                                                
YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    
1951   1.7   0.6  -0.8  -0.6  -1.0  -0.3  -1.4  -0.7  -1.3  -1.4  -1.0  -1.0
1952  -1.2  -1.1   0.0  -0.5   0.6   0.5   0.4  -0.4  -0.3   0.2  -0.2  -1.6
1953   0.2  -1.0  -0.8  -0.1  -2.2  -0.3  -0.1  -1.9  -1.5  -0.2  -0.4  -0.7
1954   0.6  -0.7  -0.3   0.4   0.3  -0.3   0.3   0.8   0.2   0.1   0.1   1.5
1955  -0.7   1.8   0.1  -0.5   0.9   1.1   1.7   1.2   1.5   1.5   1.3   1.0
1956   1.4   1.5   0.9   0.7   1.3   0.8   1.1   0.9   0.0   1.9   0.1   1.0
1957   0.6  -0.5  -0.4   0.0  -1.0  -0.2   0.1  -1.0  -1.1  -0.2  -1.2  -0.5
1958  -2.3  -1.0  -0.3   0.1  -0.9  -0.2   0.3   0.6  -0.4  -0.2  -0.6  -0.9
1959  -1.2  -2.0   0.9   0.2   0.3  -0.6  -0.5  -0.6  -0.0   0.3   1.0   0.8
1960   0.0  -0.3   0.6   0.6   0.3  -0.3   0.4   0.5   0.7  -0.1   0.5   0.8
1961  -0.4   0.7  -2.7   0.7   0.1  -0.3   0.1  -0.2   0.1  -0.7   0.6   1.6
1962   2.2  -0.7  -0.4  -0.0   1.0   0.4  -0.1   0.3   0.5   0.9   0.3   0.0
1963   1.1   0.4   0.7   0.6   0.1  -1.0  -0.3  -0.5  -0.7  -1.6  -1.0  -1.6
1964  -0.5  -0.3   0.7   1.0  -0.1   0.4   0.4   1.3   1.4   1.3   0.0  -0.5
1965  -0.6   0.1   0.2  -0.8  -0.1  -1.0  -2.2  -1.2  -1.5  -1.2  -1.8   0.0
1966  -1.7  -0.7  -1.7  -0.5  -0.7  -0.0  -0.1   0.3  -0.3  -0.4  -0.1  -0.6
1967   1.9   1.6   0.8  -0.3  -0.3   0.3   0.0   0.5   0.6  -0.2  -0.6  -0.8
1968   0.4   1.1  -0.5  -0.2   1.1   0.9   0.6  -0.1  -0.3  -0.3  -0.5   0.0
1969  -2.0  -1.1  -0.1  -0.6  -0.6  -0.2  -0.7  -0.6  -1.2  -1.3  -0.2   0.3
1970  -1.4  -1.6   0.0  -0.4   0.1   0.7  -0.6   0.2   1.3   0.9   1.7   2.1
1971   0.3   1.9   2.1   1.7   0.7   0.1   0.1   1.3   1.6   1.7   0.5   0.0
1972   0.4   0.8   0.1  -0.4  -2.1  -1.1  -1.9  -1.0  -1.6  -1.2  -0.5  -1.6
1973  -0.5  -2.0   0.2  -0.2   0.2   0.8   0.5   1.1   1.4   0.6   2.9   2.0
1974   2.7   2.0   2.2   0.8   0.9   0.1   1.2   0.5   1.3   0.8  -0.3  -0.0
1975  -0.8   0.6   1.2   1.1   0.5   1.1   2.1   1.9   2.4   1.7   1.3   2.3
1976   1.5   1.6   1.3   0.1   0.2  -0.1  -1.2  -1.3  -1.4   0.2   0.7  -0.6
1977  -0.7   1.1  -1.3  -0.8  -0.9  -1.5  -1.5  -1.3  -1.0  -1.4  -1.6  -1.4
1978  -0.4  -3.5  -0.8  -0.6   1.3   0.3   0.4   0.0   0.0  -0.7  -0.1  -0.3
1979  -0.7   0.8  -0.5  -0.4   0.3   0.4   1.3  -0.6   0.1  -0.4  -0.6  -1.0
1980   0.3  -0.0  -1.2  -1.0  -0.3  -0.4  -0.2   0.0  -0.6  -0.3  -0.5  -0.3
1981   0.2  -0.6  -2.1  -0.4   0.7   1.0   0.8   0.4   0.4  -0.7   0.1   0.5
1982   1.3  -0.1   0.1  -0.2  -0.7  -1.6  -1.9  -2.5  -2.0  -2.2  -3.2  -2.8
1983  -4.2  -4.6  -3.4  -1.3   0.5  -0.3  -0.8  -0.2   1.0   0.3  -0.2  -0.1
1984   0.1   0.6  -0.9   0.2  -0.0  -0.8   0.0   0.0   0.1  -0.6   0.2  -0.4
1985  -0.5   1.0   0.2   1.0   0.2  -0.9  -0.3   0.7  -0.0  -0.7  -0.3   0.1
1986   0.9  -1.6  -0.0   0.1  -0.5   0.7   0.1  -1.0  -0.6   0.5  -1.5  -1.8
1987  -0.9  -1.9  -2.0  -1.9  -1.7  -1.7  -1.7  -1.5  -1.2  -0.7  -0.1  -0.7
1988  -0.2  -0.9   0.1  -0.1   0.8  -0.2   1.1   1.4   2.1   1.4   1.9   1.3
1989   1.7   1.1   0.6   1.6   1.2   0.5   0.8  -0.8   0.6   0.6  -0.4  -0.7
1990  -0.2  -2.4  -1.2  -0.0   1.1  -0.0   0.5  -0.6  -0.8   0.1  -0.7  -0.5
1991   0.6  -0.1  -1.4  -1.0  -1.5  -0.5  -0.2  -0.9  -1.8  -1.5  -0.8  -2.3
1992  -3.4  -1.4  -3.0  -1.4   0.0  -1.2  -0.8  -0.0   0.0  -1.9  -0.9  -0.9
1993  -1.2  -1.3  -1.1  -1.6  -0.6  -1.4  -1.1  -1.5  -0.8  -1.5  -0.2   0.0
1994  -0.3  -0.1  -1.4  -1.8  -1.0  -0.9  -1.8  -1.8  -1.8  -1.6  -0.7  -1.6
1995  -0.6  -0.5   0.2  -1.1  -0.7  -0.2   0.3  -0.1   0.3  -0.3  -0.0  -0.8
1996   1.0  -0.1   0.7   0.6   0.1   1.0   0.6   0.4   0.6   0.4  -0.2   0.8
